U,W,F,M,n_etfs,n_factors,S,C,D,calmar,monthly_win,n_signals,r_bear_22_sharpe,r_bear_24_sharpe,r_range_21_sharpe,r_range_23_sharpe,r_bull_1920_sharpe,source,M2,wall_norm,model_norm,factor_norm
6ETF,w2022,+margin,ElasticNet(a=0.01),6.0,3.0,0.8992699795187602,0.1526102476595023,-0.1535389174792166,0.9939515672315458,0.6190476190476191,5.0,,1.0891589675018658,,-0.5921433920614255,,v3,ElasticNet,2022,ElasticNet,+margin
6ETF,w2022,+margin,Ridge(a=10),6.0,3.0,1.0470077769224622,0.1855388222829017,-0.1532044205019967,1.2110539739973334,0.6666666666666666,5.0,,1.0891589675018616,,0.1690550833597527,,v3,Ridge,2022,Ridge,+margin
6ETF,w2022,+shibor,ElasticNet(a=0.01),6.0,3.0,0.4554664729100888,0.0650621822782502,-0.1622517178748892,0.4009953369394773,0.5476190476190477,35.0,,0.8172885762829571,,-0.5072109991922791,,v3,ElasticNet,2022,ElasticNet,+shibor
6ETF,w2022,+shibor,Ridge(a=10),6.0,3.0,0.9803155173320042,0.1953528915640867,-0.1898057377502808,1.0292254274267727,0.5476190476190477,35.0,,0.8441887367380718,,-0.4915812810075289,,v3,Ridge,2022,Ridge,+shibor
6ETF,w2022,base5,ElasticNet(a=0.01),6.0,5.0,0.3525862423373523,0.0465313414434436,-0.1752292221413592,0.2655455572695877,0.5238095238095238,42.0,,0.7632643493763245,,-0.9134641848802102,,v3,ElasticNet,2022,ElasticNet,base5
6ETF,w2022,base5,Ridge(a=10),6.0,5.0,0.638429699416781,0.1019331336667765,-0.1801014802981952,0.5659761013513336,0.5952380952380952,42.0,,0.9684884915183942,,-0.690240165454097,,v3,Ridge,2022,Ridge,base5
6ETF,w2022,pure2,ElasticNet(a=0.01),6.0,2.0,0.3798457466489754,0.0519189764614238,-0.1703249249097241,0.3048231284349135,0.5238095238095238,42.0,,0.8346013559267522,,-0.9134641848802102,,v3,ElasticNet,2022,ElasticNet,pure2
6ETF,w2022,pure2,Ridge(a=10),6.0,2.0,0.9179338734963844,0.1776837318118715,-0.1616817137752422,1.0989723430249767,0.5714285714285714,42.0,,0.5496474682240121,,-0.2409662489324027,,v3,Ridge,2022,Ridge,pure2
8ETF,w2018,base5,ElasticNet(a=0.01),8.0,5.0,0.0583965385507721,-0.0040042722727385,-0.3872112902857569,-0.0103413107344661,0.4555555555555555,90.0,-1.1528408695372234,0.6135494523783451,-0.4984791204911643,-0.2618824976122703,1.5765127383874282,v3,ElasticNet,2018,ElasticNet,base5
8ETF,w2018,base5,Ridge(a=10),8.0,5.0,0.1435678594016384,0.0098983626835778,-0.387475958590037,0.0255457466821847,0.4777777777777778,90.0,-1.2167876554681862,0.6135494523783462,-0.4449215568401417,-0.2577859768336694,1.5765127383874282,v3,Ridge,2018,Ridge,base5
